ds,y
2020-05-04 04:08:54.703000069,39053
2020-05-04 04:09:54.703000069,39055
2020-05-04 04:10:54.710000038,39057
2020-05-04 04:11:54.703000069,39059
2020-05-04 04:12:54.701999903,39061
2020-05-04 04:13:54.703000069,39063
2020-05-04 04:14:54.703000069,39065
2020-05-04 04:15:54.703000069,39067
2020-05-04 04:16:54.703000069,39069
2020-05-04 04:17:54.703000069,39071
2020-05-04 04:18:54.703000069,39073
2020-05-04 04:19:54.701999903,39075
2020-05-04 04:20:54.703000069,39077
2020-05-04 04:21:54.703000069,39079
2020-05-04 04:22:54.703000069,39081
2020-05-04 04:23:54.703000069,39083
2020-05-04 04:24:54.703000069,39085
2020-05-04 04:25:54.703000069,39087
2020-05-04 04:26:54.703000069,39089
2020-05-04 04:27:54.703000069,39091
2020-05-04 04:28:54.703000069,39093
2020-05-04 04:29:54.703000069,39095
2020-05-04 04:30:54.703000069,39097
2020-05-04 04:31:54.703000069,39099
2020-05-04 04:32:54.703000069,39101
2020-05-04 04:33:54.701999903,39103
2020-05-04 04:34:54.703000069,39105
2020-05-04 04:35:54.703000069,39107
2020-05-04 04:36:54.703000069,39109
2020-05-04 04:37:54.701999903,39111
2020-05-04 04:38:54.703000069,39113
2020-05-04 04:39:54.703000069,39115
2020-05-04 04:40:54.701999903,39117
2020-05-04 04:41:54.701999903,39119
2020-05-04 04:42:54.703000069,39121
2020-05-04 04:43:54.703000069,39123
2020-05-04 04:44:54.703000069,39125
2020-05-04 04:45:54.703000069,39127
2020-05-04 04:46:54.701999903,39129
2020-05-04 04:47:54.701999903,39131
2020-05-04 04:48:54.703000069,39133
2020-05-04 04:49:54.703000069,39135
2020-05-04 04:50:54.703000069,39137
2020-05-04 04:51:54.703000069,39139
2020-05-04 04:52:54.703000069,39141
2020-05-04 04:53:54.703000069,39143
2020-05-04 04:54:54.703000069,39145
2020-05-04 04:55:54.703000069,39147
2020-05-04 04:56:54.703000069,39149
2020-05-04 04:57:54.703000069,39151
2020-05-04 04:58:54.701999903,39153
2020-05-04 04:59:54.701999903,39155
2020-05-04 05:00:54.701999903,39157
2020-05-04 05:01:54.703000069,39159
2020-05-04 05:02:54.703000069,39161
2020-05-04 05:03:54.701999903,39163
2020-05-04 05:04:54.703000069,39165
2020-05-04 05:05:54.703000069,39167
2020-05-04 05:06:54.703000069,39169
2020-05-04 05:07:54.703000069,39171
2020-05-04 05:08:54.703000069,39173
2020-05-04 05:09:54.703000069,39175
2020-05-04 05:10:54.703000069,39177
2020-05-04 05:11:54.703000069,39179
2020-05-04 05:12:54.703000069,39181
2020-05-04 05:13:54.703000069,39183
2020-05-04 05:14:54.703000069,39185
2020-05-04 05:15:54.703000069,39187
2020-05-04 05:16:54.701999903,39189
2020-05-04 05:17:54.703000069,39191
2020-05-04 05:18:54.703000069,39193
2020-05-04 05:19:54.703000069,39195
2020-05-04 05:20:54.701999903,39197
2020-05-04 05:21:54.703000069,39199
2020-05-04 05:22:54.703000069,39201
2020-05-04 05:23:54.701999903,39203
2020-05-04 05:24:54.703000069,39205
2020-05-04 05:25:54.703000069,39207
2020-05-04 05:26:54.703000069,39209
2020-05-04 05:27:54.701999903,39211
2020-05-04 05:28:54.703000069,39213
2020-05-04 05:29:54.703000069,39215
2020-05-04 05:30:54.703000069,39217
2020-05-04 05:31:54.703000069,39219
2020-05-04 05:32:54.703000069,39221
2020-05-04 05:33:54.703000069,39223
2020-05-04 05:34:54.703000069,39225
2020-05-04 05:35:54.703000069,39227
2020-05-04 05:36:54.703000069,39229
2020-05-04 05:37:54.703000069,39231
2020-05-04 05:38:54.703000069,39233
2020-05-04 05:39:54.703000069,39235
2020-05-04 05:40:54.703000069,39237
2020-05-04 05:41:54.703000069,39239
2020-05-04 05:42:54.703000069,39241
2020-05-04 05:43:54.701999903,39243
2020-05-04 05:44:54.703000069,39245
2020-05-04 05:45:54.703000069,39247
2020-05-04 05:46:54.703000069,39249
2020-05-04 05:47:54.703000069,39251
2020-05-04 05:48:54.703000069,39253
2020-05-04 05:49:54.703000069,39255
2020-05-04 05:50:54.701999903,39257
2020-05-04 05:51:54.703000069,39259
2020-05-04 05:52:54.703000069,39261
2020-05-04 05:53:54.703000069,39263
2020-05-04 05:54:54.703000069,39265
2020-05-04 05:55:54.701999903,39267
2020-05-04 05:56:54.703000069,39269
2020-05-04 05:57:54.703000069,39271
2020-05-04 05:58:54.703000069,39273
2020-05-04 05:59:54.703000069,39275
2020-05-04 06:00:54.703000069,39277
2020-05-04 06:01:54.703000069,39279
2020-05-04 06:02:54.703000069,39281
2020-05-04 06:03:54.703000069,39283
2020-05-04 06:04:54.703000069,39285
2020-05-04 06:05:54.703000069,39287
2020-05-04 06:06:54.703000069,39289
2020-05-04 06:07:54.703000069,39291
2020-05-04 06:08:54.703000069,39293
2020-05-04 06:09:54.701999903,39295
2020-05-04 06:10:54.703000069,39297
2020-05-04 06:11:54.701999903,39299
2020-05-04 06:12:54.701999903,39301
2020-05-04 06:13:54.701999903,39303
2020-05-04 06:14:54.701999903,39305
2020-05-04 06:15:54.703000069,39307
2020-05-04 06:16:54.701999903,39309
2020-05-04 06:17:54.701999903,39311
2020-05-04 06:18:54.703000069,39313
2020-05-04 06:19:54.703000069,39315
2020-05-04 06:20:54.703000069,39317
2020-05-04 06:21:54.703000069,39319
2020-05-04 06:22:54.703000069,39321
2020-05-04 06:23:54.701999903,39323
2020-05-04 06:24:54.703000069,39325
2020-05-04 06:25:54.701999903,39327
2020-05-04 06:26:54.703000069,39329
2020-05-04 06:27:54.703000069,39331
2020-05-04 06:28:54.703000069,39333
2020-05-04 06:29:54.703000069,39335
2020-05-04 06:30:54.703000069,39337
2020-05-04 06:31:54.703000069,39339
2020-05-04 06:32:54.709000111,39341
2020-05-04 06:33:54.703000069,39343
2020-05-04 06:34:54.703000069,39345
2020-05-04 06:35:54.703000069,39347
2020-05-04 06:36:54.703000069,39349
2020-05-04 06:37:54.703000069,39351
2020-05-04 06:38:54.701999903,39353
2020-05-04 06:39:54.703000069,39355
2020-05-04 06:40:54.703000069,39357
2020-05-04 06:41:54.701999903,39359
2020-05-04 06:42:54.701999903,39361
2020-05-04 06:43:54.701999903,39363
2020-05-04 06:44:54.703000069,39365
2020-05-04 06:45:54.703000069,39367
2020-05-04 06:46:54.703000069,39369
2020-05-04 06:47:54.703000069,39371
2020-05-04 06:48:54.703000069,39373
2020-05-04 06:49:54.703000069,39375
2020-05-04 06:50:54.703000069,39377
2020-05-04 06:51:54.703000069,39379
2020-05-04 06:52:54.703000069,39381
2020-05-04 06:53:54.703000069,39383
2020-05-04 06:54:54.703000069,39385
2020-05-04 06:55:54.703000069,39387
2020-05-04 06:56:54.703000069,39389
2020-05-04 06:57:54.703000069,39391
2020-05-04 06:58:54.703000069,39393
2020-05-04 06:59:54.703000069,39395
